Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7,Turn - 8,Turn - 9,Turn - 10,Turn - 11
895,1,"3, 5, 8, 4, 8, 3, 6, 7, 6, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 4, 6, 7","5, 7 - 4, 6, 7","5, 7 - 4, 6","5, 7 - 4",5 - 4," - 4"
896,1,"3, 5, 8, 4, 8, 3, 7, 5, 6, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 4, 6, 7","5, 6 - 4, 6, 7","6 - 4, 6, 7","6 - 4, 7",6 - 7," - 7"
897,2,"3, 5, 8, 4, 8, 3, 7, 5, 6, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 4, 6, 7","5, 6 - 4, 6, 7","6 - 4, 6, 7","6 - 4, 7",6 - 4,"6 - "
898,1,"3, 5, 8, 4, 8, 3, 7, 5, 7, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 4, 6, 7","5, 6 - 4, 6, 7","6 - 4, 6, 7","6 - 4, 6",6 - 6," - 6"
899,2,"3, 5, 8, 4, 8, 3, 7, 5, 7, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 4, 6, 7","5, 6 - 4, 6, 7","6 - 4, 6, 7","6 - 4, 6",6 - 4,"6 - "
900,1,"3, 5, 8, 4, 8, 3, 7, 6, 7, 4, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 4, 6, 7","5, 6 - 4, 6, 7","5 - 4, 6, 7","5 - 4, 6",5 - 6," - 6"
901,2,"3, 5, 8, 4, 8, 3, 7, 6, 7, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 4, 6, 7","5, 6 - 4, 6, 7","5 - 4, 6, 7","5 - 4, 6",5 - 4,"5 - "
902,1,"3, 5, 8, 4, 8, 4, 5, 6, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","6, 7 - 3, 6, 7","6, 7 - 3, 7","6 - 3, 7"," - 3, 7"
903,1,"3, 5, 8, 4, 8, 4, 5, 7, 3, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","6, 7 - 3, 6, 7","6, 7 - 3, 6","6, 7 - 6",7 - 6," - 6"
904,1,"3, 5, 8, 4, 8, 4, 5, 7, 3, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","6, 7 - 3, 6, 7","6, 7 - 3, 6","6, 7 - 6",6 - 6," - 6"
905,1,"3, 5, 8, 4, 8, 4, 5, 7, 6, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","6, 7 - 3, 6, 7","6, 7 - 3, 6","6, 7 - 3",6 - 3," - 3"
906,2,"3, 5, 8, 4, 8, 4, 6, 7, 3, 5, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 7 - 3, 6, 7","5, 7 - 3, 6","5, 7 - 6",7 - 6,"7 - "
907,1,"3, 5, 8, 4, 8, 4, 6, 7, 3, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 7 - 3, 6, 7","5, 7 - 3, 6","5, 7 - 6",5 - 6," - 6"
908,1,"3, 5, 8, 4, 8, 4, 6, 7, 6, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 7 - 3, 6, 7","5, 7 - 3, 6","5, 7 - 3",5 - 3," - 3"
909,1,"3, 5, 8, 4, 8, 4, 7, 5, 6, 3, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 6 - 3, 6, 7","6 - 3, 6, 7","6 - 3, 7",6 - 7," - 7"
910,2,"3, 5, 8, 4, 8, 4, 7, 5, 6, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 6 - 3, 6, 7","6 - 3, 6, 7","6 - 3, 7",6 - 3,"6 - "
911,1,"3, 5, 8, 4, 8, 4, 7, 5, 7, 3, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 6 - 3, 6, 7","6 - 3, 6, 7","6 - 3, 6",6 - 6," - 6"
912,2,"3, 5, 8, 4, 8, 4, 7, 5, 7, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 6 - 3, 6, 7","6 - 3, 6, 7","6 - 3, 6",6 - 3,"6 - "
913,1,"3, 5, 8, 4, 8, 4, 7, 6, 7, 3, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 6 - 3, 6, 7","5 - 3, 6, 7","5 - 3, 6",5 - 6," - 6"
914,2,"3, 5, 8, 4, 8, 4, 7, 6, 7, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 6, 7","5, 6 - 3, 6, 7","5 - 3, 6, 7","5 - 3, 6",5 - 3,"5 - "
915,1,"3, 5, 8, 4, 8, 6, 7, 5, 7, 3, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 7","5, 6 - 3, 4, 7","6 - 3, 4, 7","6 - 3, 4",6 - 4," - 4"
916,1,"3, 5, 8, 4, 8, 6, 7, 5, 7, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 7","5, 6 - 3, 4, 7","6 - 3, 4, 7","6 - 3, 4",6 - 3," - 3"
917,1,"3, 5, 8, 4, 8, 6, 7, 6, 7, 3, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 7","5, 6 - 3, 4, 7","5 - 3, 4, 7","5 - 3, 4",5 - 4," - 4"
918,1,"3, 5, 8, 4, 8, 6, 7, 6, 7, 4, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 7","5, 6 - 3, 4, 7","5 - 3, 4, 7","5 - 3, 4",5 - 3," - 3"
919,1,"3, 5, 8, 4, 8, 7, 3, 5, 6, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 4, 6","6, 7 - 4, 6","6, 7 - 4",6 - 4," - 4"
920,1,"3, 5, 8, 4, 8, 7, 3, 6, 5, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 4, 6","5, 7 - 4, 6","7 - 4, 6",7 - 4," - 4"
921,1,"3, 5, 8, 4, 8, 7, 3, 6, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 4, 6","5, 7 - 4, 6","5 - 4, 6"," - 4, 6"
922,2,"3, 5, 8, 4, 8, 7, 3, 7, 5, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 4, 6","5, 6 - 4, 6","6 - 4, 6",6 - 4,"6 - "
923,1,"3, 5, 8, 4, 8, 7, 3, 7, 6, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 4, 6","5, 6 - 4, 6","5 - 4, 6"," - 4, 6"
924,1,"3, 5, 8, 4, 8, 7, 4, 5, 6, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 3, 6","6, 7 - 3, 6","6, 7 - 3",6 - 3," - 3"
925,1,"3, 5, 8, 4, 8, 7, 4, 6, 5, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 3, 6","5, 7 - 3, 6","7 - 3, 6",7 - 3," - 3"
926,1,"3, 5, 8, 4, 8, 7, 4, 6, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 3, 6","5, 7 - 3, 6","5 - 3, 6"," - 3, 6"
927,2,"3, 5, 8, 4, 8, 7, 4, 7, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 3, 6","5, 6 - 3, 6","6 - 3, 6",6 - 3,"6 - "
928,1,"3, 5, 8, 4, 8, 7, 4, 7, 6, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 3, 6","5, 6 - 3, 6","5 - 3, 6"," - 3, 6"
929,1,"3, 5, 8, 4, 8, 7, 6, 7, 5, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 3, 4","5, 6 - 3, 4","6 - 3, 4"," - 3, 4"
930,1,"3, 5, 8, 4, 8, 7, 6, 7, 6, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7, 8","5, 6, 7 - 3, 4, 6, 7","5, 6, 7 - 3, 4, 6","5, 6, 7 - 3, 4","5, 6 - 3, 4","5 - 3, 4"," - 3, 4"
931,2,"3, 5, 8, 5, 6, 7, 8, 3, 4, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 7, 8","4, 6 - 3, 4, 7, 8","4, 6 - 3, 4, 7","4, 6 - 4, 7","6 - 4, 7",6 - 4,"6 - "
932,2,"3, 5, 8, 5, 6, 7, 8, 3, 6, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 7, 8","4, 6 - 3, 4, 7, 8","4, 6 - 3, 4, 7","4, 6 - 4, 7","4 - 4, 7",4 - 4,"4 - "
933,2,"3, 5, 8, 5, 6, 7, 8, 4, 6, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 7, 8","4, 6 - 3, 4, 7, 8","4, 6 - 3, 4, 7","4, 6 - 3, 7","4 - 3, 7",4 - 3,"4 - "
934,1,"3, 5, 8, 5, 6, 7, 8, 7, 3, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 7, 8","4, 6 - 3, 4, 7, 8","4, 6 - 3, 4, 7","4, 6 - 3, 4","4, 6 - 4",6 - 4," - 4"
935,1,"3, 5, 8, 5, 6, 7, 8, 7, 3, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 7, 8","4, 6 - 3, 4, 7, 8","4, 6 - 3, 4, 7","4, 6 - 3, 4","4, 6 - 4",4 - 4," - 4"
936,1,"3, 5, 8, 5, 6, 7, 8, 7, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 7, 8","4, 6 - 3, 4, 7, 8","4, 6 - 3, 4, 7","4, 6 - 3, 4","4, 6 - 3",4 - 3," - 3"
937,2,"3, 5, 8, 5, 7, 3, 4, 6, 7, 8, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 4, 6, 8","6, 7 - 4, 6, 8","6, 7 - 4, 8","6 - 4, 8",6 - 4,"6 - "
938,1,"3, 5, 8, 5, 7, 3, 4, 8, 4, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 4, 6, 8","6, 7 - 4, 6, 8","6, 7 - 4, 6","6, 7 - 6",7 - 6," - 6"
939,1,"3, 5, 8, 5, 7, 3, 4, 8, 4, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 4, 6, 8","6, 7 - 4, 6, 8","6, 7 - 4, 6","6, 7 - 6",6 - 6," - 6"
940,1,"3, 5, 8, 5, 7, 3, 4, 8, 6, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 4, 6, 8","6, 7 - 4, 6, 8","6, 7 - 4, 6","6, 7 - 4",6 - 4," - 4"
941,1,"3, 5, 8, 5, 7, 3, 6, 8, 4, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 4, 6, 8","4, 7 - 4, 6, 8","4, 7 - 4, 6","4, 7 - 6",4 - 6," - 6"
942,1,"3, 5, 8, 5, 7, 3, 6, 8, 6, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 4, 6, 8","4, 7 - 4, 6, 8","4, 7 - 4, 6","4, 7 - 4",4 - 4," - 4"
943,1,"3, 5, 8, 5, 7, 3, 7, 8, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 4, 6, 8","4, 6 - 4, 6, 8","4, 6 - 4, 6","4, 6 - 6",4 - 6," - 6"
944,2,"3, 5, 8, 5, 7, 3, 7, 8, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 4, 6, 8","4, 6 - 4, 6, 8","4, 6 - 4, 6","4, 6 - 4","4, 6 - "
945,2,"3, 5, 8, 5, 7, 4, 6, 8, 3, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 6, 7, 8","4, 5, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 7, 8","4, 6, 7 - 3, 4, 6, 8","4, 6, 7 - 3, 6, 8","4, 7 - 3, 6, 8","4, 7 - 3, 6","4, 7 - 6",7 - 6,"7 - "
